segment_name,count
Lancaster Foods_Manufacturing,10
"Rides_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",10
"Administration_Six Flags Great Adventure, Hurricane Harbor & Wild Safari Adventure",10
Nursing_Critical_Care,10
Catch All,10
North Star_Sales,10
Newport Meat_Supply Chain and Logistics,10
IMS_HerndonHiringEvent,9
Healthcare_HTF,9
Cafe_Ambassador_SanAntonio,9
GamesMerch_California's_Great_America,9
Cafe_Ambassador_Denver,9
Tech_Canada,9
GamesMerch_Michigan's_Adventure,9
Maintenance_Six Flags Over Texas & Hurricane Harbor Arlington,9
RSC Truck Drivers,9
HTF_Six Flags Discovery Kingdom,9
Creative,9
CustomerServiceRep_12D,9
Seasonal_Valleyfair,9
Seasonal_Schlitterbahn_Galveston_Island,9
Phlebotomists | HTF,9
FoodBeverage_Six Flags Magic Mountain & Hurricane Harbor Los Angeles,9
Maintenance_Michigan's_Adventure,8
Audit_Other,8
HR_US,8
Entertainment_Six Flags Over Georgia,8
Seasonal_Kings_Island,8
FoodBeverage_Dorney_Park,8
Maintenance_Schlitterbahn_New_Braunfels,8
Administration_Six Flags White Water,8
Cafe_Ambassador_Atlanta,8
Business_HTF,8
SecuritySafety_Michigan's_Adventure,8
GamesMerch_Six Flags Over Texas & Hurricane Harbor Arlington,8
Maintenance_Six Flags Hurricane Harbor Concord,8
Environment_Safety_US,8
Operations_Dorney_Park,8
HTF_Six Flags Magic Mountain & Hurricane Harbor Los Angeles,8
Customer_Service_US,8
Maintenance_Six Flags Over Georgia,8
FoodBeverage_Six Flags Great Escape Lodge,8
HTF_Kings_Dominion,8
CustodialJanitorial_Six Flags Hurricane Harbor Phoenix,8
ACC_Nursing Leadership,8
Information_Services_US,8
HTF_Michigan's_Adventure,7
HTF_Worlds_of_Fun,7
Legal,7
SecuritySafety_Schlitterbahn_New_Braunfels,7
Management_12I,7
HR_Other,7
HTF_Six Flags Over Georgia,7
Cafe_Ambassador_Detroit,7
HTF_Schlitterbahn_Galveston_Island,7
HTF_Six Flags Great Escape,7
Administration_Worlds_of_Fun,7
FoodBeverage_Schlitterbahn_Galveston_Island,7
GamesMerch_Six Flags Great Escape,7
HTF_Valleyfair,7
HTF_Six Flags Great America & Hurricane Harbor,7
HTF_Kings_Island,7
Guest_Corporate,6
Nursing_CHV,6
Nursing_Radiology,6
SecuritySafety_Kings_Island,6
FoodBeverage_Kings_Island,6
Entertainment_Six Flags Great Escape,6
Entertainment_Six Flags Discovery Kingdom,6
HTF_Six Flags New England,6
HTF_Six Flags Frontier City,6
HTF_Six Flags Fiesta Texas,6
HTF_California's Great America,6
LPN,6
CSD_FPGAEngineering,6
Nursing_Oncology,6
Aquatics_Schlitterbahn_New_Braunfels,6
Guest_Supply Chain and Logistics,6
FoodBeverage_California's_Great_America,6
Admissions_Six Flags Great America & Hurricane Harbor,6
SecuritySafety_Knott's_Berry_Farm,6
HQ_Engineering,6
FoodBeverage_Six Flags Hurricane Harbor Phoenix,6
Aquatics_Dorney_Park,6
FoodBeverage_Michigan's_Adventure,6
Contact Center,6
HTF_Six Flags Hurricane Harbor Concord,6
European Imports_Warehouse,6
Administration_Six Flags New England,5
Maintenance_Six Flags Hurricane Harbor Phoenix,5
Admissions_Knott's_Berry_Farm,5
Admissions_Dorney_Park,5
GamesMerch_Six Flags Discovery Kingdom,5
AR/WW-HIKHU,5
GamesMerch_Dorney_Park,5
Admissions_California's_Great_America,5
GamesMerch_Kings_Island,5
Cafe_Ambassador_Knoxville,5
Administration_Six Flags St. Louis,5
Management_12J,5
Legal_Other,5
CRNA,5
Administration_Six Flags Fiesta Texas,5
Customer-Service_Tampa,4
CA_ShowRoomManager_Supplemental,4
Buckhead_Supply Chain and Logistics,4
Store_Management,4
NursePractitioner_IL,4
SecuritySafety_Six Flags Darien Lake,4
Administration_Six Flags Magic Mountain & Hurricane Harbor Los Angeles,4
Rides_Dorney_Park,4
Operations_Six Flags Great Escape,4
SecuritySafety_Six Flags Hurricane Harbor Phoenix,4
CustomerServiceRep_12E,4
SecuritySafety_Schlitterbahn_Galveston_Island,4
GamesMerch_Schlitterbahn_New_Braunfels,4
Rides_California's_Great_America,4
Exchange_Duals_3,4
Admissions_Kings_Island,4
Operations Manager Trainee: High Priority,4
Other_Other-PrioMarkets,3
Cafe_Ambassador_Washington_DC,3
SecuritySafety_Six Flags Hurricane Harbor Splashtown,3
Maintenance_Six Flags Frontier City,3
Rides_Six Flags Magic Mountain & Hurricane Harbor Los Angeles,3
Management_12E,3
Management_11F,3
Administration_Six Flags Discovery Kingdom,3
Maintenance_Six Flags Darien Lake,3
Maintenance_Six Flags Hurricane Harbor Rockford,3
Rockville,3
SecuritySafety_Six Flags Great Escape,3
DataAnalytics_US,3
Cafe_Ambassador_King_of_Prussia,3
Aquatics_Six Flags Hurricane Harbor Concord,3
Admissions_Schlitterbahn_New_Braunfels,3
Administration_Knott's_Berry_Farm,3
Sourcing_US,2
Union HTF,2
,2
Rides_Schlitterbahn_New_Braunfels,2
Rides_Kings_Island,2
Distribution_OH,2
CustodialJanitorial_Six Flags Magic Mountain & Hurricane Harbor Los Angeles,2
Administration_Dorney_Park,2
Aquatics_California's_Great_America,2
Cafe_Ambassador_Philadelphia,2
HTF_Dorney_Park,2
Entertainment_Six Flags St. Louis,2
Administration_Six Flags Great America & Hurricane Harbor,2
Resorts_Schlitterbahn_New_Braunfels,2
Administration_Kings_Dominion,2
Customer-Service_Colorado-Springs,2
Rides_Michigan's_Adventure,2
CustodialJanitorial_Six Flags Discovery Kingdom,2
Motion_HTF,2
Cafe_Ambassador_Chicago,2
Operations_Michigan's_Adventure,2
CustodialJanitorial_Six Flags Hurricane Harbor Splashtown,2
Aquatics_Schlitterbahn_Galveston_Island,2
Admissions_Michigan's_Adventure,2
FoodBeverage_Valleyfair,2
SecuritySafety_Six Flags Magic Mountain & Hurricane Harbor Los Angeles,1
Other Professional,1
Rides_Six Flags Discovery Kingdom,1
European Imports_Supply Chain and Logistics,1
Admissions_Six Flags Fiesta Texas,1
East Coast Fresh_Warehouse,1
Aquatics_Knott's_Berry_Farm,1
Admissions_Six Flags Magic Mountain & Hurricane Harbor Los Angeles,1
Sales_MN,1
Sales_HTF,1
Other,1
Coastal_Corporate,1
Maintenance_Valleyfair,1
"Mt Laurel, NJ Hiring Event",1
Nursing_Clinical Support,1
Goverment Market,1
European Imports_Sales,1
Administration_Six Flags Darien Lake,1
Entertainment_Six Flags Fiesta Texas,1
East Coast Fresh_Corporate,1
Pallisades Ranch_Corporate,1
Aquatics_Kings_Island,1
Rides_Schlitterbahn_Galveston_Island,1
Management_12H,1
WCU_Nursing Leadership,1
Accounting/ Finance,1
